Location of Private Lateral,Zipcode,"Date of WW
Release",lat,long
"8787 Richmond Ave, Houston, Texas, 77063",77063,2021-04-29,29.7286119,-95.5193398
"6223 El Platino Dr, Houston, Texas, 77048",77048,2021-04-29,29.635111,-95.3190525
"10147 Valley Wind Dr, Houston, Texas, 77078",77078,2021-04-29,29.8478666999999,-95.2360686
"3806 Heatherbloom Dr, Houston, Texas, 77045",77045,2021-04-29,29.6234786,-95.4337420999999
"2607 Cochran St, Houston, Texas, 77009",77009,2021-04-30,29.7854597,-95.3563879
"3414 Sparks St, Houston, Texas, 77093",77093,2021-04-29,29.8504589,-95.334822
"9314 Logans Run Ln, Houston, Texas, 77075",77075,2021-04-30,29.6068907,-95.2560791
"11042 Lafferty Oaks St, Houston, Texas, 77013",77013,2021-04-30,29.7777169,-95.2342082
"6515 Peerless St, Houston, Texas, 77021",77021,2021-04-30,29.7024666,-95.370176
"1106 Jocelyn St, Houston, Texas, 77023",77023,2021-04-30,29.7279509,-95.3165609
"210 Burr St, Houston, Texas, 77011",77011,2021-04-30,29.7450697,-95.3271381
"5711 Belarbor St, Houston, Texas, 77033",77033,2021-05-01,29.6656474,-95.3364972999999
"6819 Glen Rock Dr, Houston, Texas, 77087",77087,2021-04-30,29.6725784,-95.3055791
"8170 Homewood Ln, Houston, Texas, 77028",77028,2021-05-02,29.8421386,-95.2772904
"1922 Coulcrest Dr, Houston, Texas, 77055",77055,2021-05-03,29.8061432,-95.4985516
"1954 Ridgemore Dr, Houston, Texas, 77055",77055,2021-05-02,29.807587,-95.4947206
"7917 Tate St, Houston, Texas, 77028",77028,2021-05-02,29.810405,-95.2836482
"3214 Glen Haven Blvd, Houston, Texas, 77025",77025,2021-05-02,29.7016021,-95.428304
"15919 Bazelbriar Ln, Missouri City, Texas, 77489",77489,2021-05-03,29.5950436,-95.5027631
"8814 Wayfarer Ln, Houston, Texas, 77075",77075,2021-05-03,29.6178316,-95.2597311
"5301 Carmen St, Houston, Texas, 77033",77033,2021-05-03,29.6568635,-95.3418614
"302 Rhode Island St, Houston, Texas, 77029",77029,2021-05-03,29.7346306,-95.2566449
"11254 Spottswood Dr, Houston, Texas, 77016",77016,2021-05-03,29.88278,-95.289772
"16202 Knollridge Ct, Houston, Texas, 77053",77053,2021-05-03,29.5919956999999,-95.4814086
"3838 Westheimer Rd, Houston, Texas, 77027",77027,2021-05-03,29.7420957,-95.4428449
"9606 Lawngate Dr, Houston, Texas, 77080",77080,2021-05-03,29.8263772999999,-95.5295163
"6415 Bazel Brook Dr, Missouri City, Texas, 77489",77489,2021-05-03,29.6025536,-95.4815290999999
"16710 Lost Quail Dr, Missouri City, Texas, 77489",77489,2021-05-03,29.5842378999999,-95.5173427
"5423 Amy St, Houston, Texas, 77028",77028,2021-05-03,29.8102586,-95.2864563
"711 Kress St, Houston, Texas, 77020",77020,2021-05-03,29.7760518,-95.3071260999999
"4204 Dawson Ln, Houston, Texas, 77051",77051,2021-05-03,29.6538489,-95.3660878
"2500 Stuart St, Houston, Texas, 77004",77004,2021-05-03,29.7330071,-95.3646569
